Rang,Score /7,Cabinet,Ville,Telephone,Avocat(s) au Tableau de l'Ordre,Domaines de droit,Structure /2,Fideicommis /2,Age /3,Signal age,Annee domaine,Autres indices,Site,Adresse,Fiabilite numero,ETAT,Date appel,Qui a repondu,Nb avocats confirme,Adjointe ?,Cabinet depuis quand ?,Leurs mots exacts,Prochaine action,Date relance
100,2,"Michèle Tétreault, avocate",Châteauguay,514-269-4859,"Tétreault, Michèle",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"61 Boul D'Anjou, Châteauguay J6J 2P9",haute,A_APPELER,,,,,,,,
101,2,"Pascal Dupuis, avocat Inc.",Saint-Jean-Sur-Richelieu,450-346-4546,"Dupuis, Pascal",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"311 Rue Collin, Saint-Jean-Sur-Richelieu J3B 6B9",haute,A_APPELER,,,,,,,,
102,2,"Romina Bongiovanni, avocate",Montréal,514-690-6238,"Bongiovanni, Romina",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"85, Notre-Dame Ouest 15e étage Montréal, Montréal H2Y 2W8",haute,A_APPELER,,,,,,,,
103,2,"Stéphanie Yanakis, avocate",Terrebonne,514-554-7442,"Yanakis, Stéphanie",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"204-1341 Grande Allée, Terrebonne J6W 4K6",haute,A_APPELER,,,,,,,,
104,2,Sylvain Pratte Avocat,Longueuil,450-912-1422,"Pratte, Sylvain",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"117-70, rue de la Barré, Longueuil J4K 5J3",haute,A_APPELER,,,,,,,,
105,2,Sylvain Robitaille,Sainte-Anne-Des-Plaines,450-478-1040,"Robitaille, Sylvain",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"404 Ste Anne, Sainte-Anne-Des-Plaines J0N 1H0",haute,A_APPELER,,,,,,,,
106,2,Thuc D. D. Duong avocate Inc.,Westmount,514-939-5851,"Duong, Dang Dieu Thuc",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"4060 Rue Sainte-Catherine O, Westmount H3Z 2Z3",haute,A_APPELER,,,,,,,,
107,2,Veilleux Savitz Avocats inc.,Brossard,450-812-3797,"Savitz, Juliana",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"6185, boul Taschereau, Brossard J4Z 1A6",haute,A_APPELER,,,,,,,,
108,2,"Violaine Belzile, Avocates S.A.",Montréal,514-271-2486,"Belzile, Violaine",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"615-606, rue Cathcart, Montréal H3B 1K9",haute,A_APPELER,,,,,,,,
109,2,"William Aguilar,avocat",Montréal,514-279-5596,"Aguilar, William",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"100-442, rue Saint-Gabriel, Montréal H2Y 2Z9",haute,A_APPELER,,,,,,,,
110,1,Savoie & Savoie,Repentigny,450-585-2605,"Savoie, Claude | Therrien, Maxime | Therrien, Olivier","Famille, Immobilier, Successions",1,2,-2,"en ligne depuis 2001, cabinet etabli",2001,site (c) 2024,vosprocureurs.com,"100-46 boul Brien, Repentigny J6A 4S2",haute,A_APPELER,,,,,,,,
111,1,Tutino Joseph Grégoire,Montréal,514-878-3878,"Alerte, Valérie | Grégoire, Isabelle | Joseph, Robert","Immobilier, Successions",1,2,-2,"en ligne depuis 2007, cabinet etabli",2007,site (c) 2026,tutinolex.com,"1080, Côte du Beaver Hall, Montréal H2Z 1S8",haute,A_APPELER,,,,,,,,
112,1,Barrette & Associés avocats inc.,Vaudreuil-Dorion,450-218-6080,"Barrette, Alain",Successions,2,1,-2,"en ligne depuis 2000, cabinet etabli",2000,site (c) 2026,barrett.qc.ca,"155, av Saint-Charles, Vaudreuil-Dorion J7V 2K9",haute,A_APPELER,,,,,,,,
113,1,Bricka avocat inc.,Saint-Bruno,450-653-8959,"Bricka, Stanislas",Immobilier,2,1,-2,"en ligne depuis 2003, cabinet etabli",2003,site (c) 2016,droitdesaffaires.com,"1494, rue Montarville, Saint-Bruno J3V 3T5",haute,A_APPELER,,,,,,,,
114,1,Bélanger Brunet Paris Armstrong,Saint-Laurent,514-748-6584,"Brunet, Michel","Famille, Successions",2,1,-2,"en ligne depuis 2002, cabinet etabli",2002,site (c) 2024,belangerbrunet.com,"685 Boul Décarie suite 304, Saint-Laurent H4L 5G4",haute,A_APPELER,,,,,,,,
115,1,Claude Benabou,Montréal,514-906-2841,"Benabou, Claude",Immobilier,2,1,-2,"en ligne depuis 2000, cabinet etabli",2000,,benabou.ca,"1440 Rue Sainte-Catherine O, Montréal H3G 1R8",haute,A_APPELER,,,,,,,,
116,1,DJB Avocats,Montréal,514-381-3064,"Badimboli-Atibasay, Jean-Faustin","Famille, Immobilier",2,1,-2,"en ligne depuis 2000, cabinet etabli",2000,,djbavocats.com,"10122, boul Saint-Laurent, Montréal H3L 2N7",haute,A_APPELER,,,,,,,,
117,1,Ekitas avocats & fiscalistes Inc.,Laval,450-973-3883,"Dugal, Eric",Immobilier,2,1,-2,"en ligne depuis 2008, cabinet etabli",2008,,ekitas.com,"2255 Boul Dagenais O, Laval H7L 6B1",haute,A_APPELER,,,,,,,,
118,1,"Francine Scott, avocate",Saint-Lambert,450-923-7922,"Scott, Francine",Successions,2,1,-2,"en ligne depuis 2011, cabinet etabli",2011,,francinescott.com,"360, av de Brixton, Saint-Lambert J4P 3A6",haute,A_APPELER,,,,,,,,
119,1,"François Lapointe, avocat",Longueuil,450-332-7836,"Lapointe, François","Famille, Immobilier",2,1,-2,"en ligne depuis 2010, cabinet etabli",2010,,francoislapointeavocat.ca,"365, rue Saint-Jean, Longueuil J4H 2X7",haute,A_APPELER,,,,,,,,
120,1,Gagnon et Associés,Longueuil,450-646-4347,"Couillard, Léa | Cuierrier-Besner, Valérie | Gagnon, Josée M.",Immobilier,2,1,-2,"en ligne depuis 1991, cabinet etabli",1991,,gagnonetassocies.com,"110-32, rue Saint-Charles O, Longueuil J4H 1C6",haute,A_APPELER,,,,,,,,
121,1,"Grenier Laliberté, Avocats Inc.",Saint-Hubert,450-500-2824,"Colpron, Ariane | Grenier, René | Laliberté, Sandra","Famille, Immobilier",2,1,-2,"en ligne depuis 2002, cabinet etabli",2002,,bellavance-grenier.com,"101-2103 Boul Édouard, Saint-Hubert J4T 2A2",haute,A_APPELER,,,,,,,,
122,1,"Guy Audet, avocats",Saint-Laurent,514-904-0489,"Audet, Guy | Bissonnette, Sarah | Turcot, François",Immobilier,2,1,-2,"en ligne depuis 2010, cabinet etabli",2010,site (c) 2020,droitlocatif.ca,"842 Sainte Croix Avenue, Saint-Laurent H4L 3Y4",haute,A_APPELER,,,,,,,,
123,1,Laurendeau Rasic,Montréal,514-288-4241,"Cardinal-Pilote, Francis",Immobilier,2,1,-2,"en ligne depuis 2010, cabinet etabli",2010,,malodansereau.com,"800-407 boul Saint-Laurent, Montréal H2Y 2Y5",haute,A_APPELER,,,,,,,,
124,1,Leduc Avocats inc.,Saint-Constant,450-845-4178,"Leduc, Florence",Immobilier,2,1,-2,"en ligne depuis 2011, cabinet etabli",2011,,leducavocats.com,"69 Rue Saint-Pierre, Saint-Constant J5A 0W4",haute,A_APPELER,,,,,,,,
125,1,"ME MARTIN FILION, AVOCAT",Salaberry de Valleyfield,450-373-0241,"Filion, Martin",Immobilier,2,1,-2,"en ligne depuis 2010, cabinet etabli",2010,,martinfilion.com,"7 Rue Hébert, Salaberry de Valleyfield J6S 0G7",haute,A_APPELER,,,,,,,,
126,1,Racicot Chandonnet Ltée,Granby,450-777-7870,"Angui, Philippe Emmanuel",Immobilier,2,1,-2,"en ligne depuis 2009, cabinet etabli",2009,,racicotchandonnet.ca,"301-150, rue Saint-Jacques, Granby J2G 8V6",haute,A_APPELER,,,,,,,,
127,1,"Étude de Nancy Gaboury, avocate",Blainville,450-951-9536,"Gaboury, Nancy","Famille, Successions",2,1,-2,"en ligne depuis 2009, cabinet etabli",2009,site (c) 2000,nancygaboury.com,"360 Boul De La Seigneurie O, Blainville J7C 5A1",haute,A_APPELER,,,,,,,,
128,1,DHC Avocats inc,Montréal,514-331-5010,"Boudreau, Amélie | Boulay, George | Eddhima-Auclair, Sara",Immobilier,0,1,0,"age inconnu, a demander a l'appel",,,dufresnehebert.ca,"800 Rue Du Square-Victoria, Montréal H4Z 1A1",haute,A_APPELER,,,,,,,,
129,1,"Maria R. Battaglia, avocats",Dorval,514-780-8855,"Alves-Wallace, Tiffany | Battaglia, Maria Rita | De ColaDavid, Andrea","Famille, Successions",0,1,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"755, ch du Bord-du-Lac Lakeshore, Dorval H9S 2C1",haute,A_APPELER,,,,,,,,
130,1,"Boucher, Prieur & Associés",L'Assomption,450-589-2076,"Boucher, Michel | Prieur, Mario",Famille,1,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"346, boul de l'Ange-Gardien, L'Assomption J5W 1S3",haute,A_APPELER,,,,,,,,
131,1,Haché & associés avocats inc,Laval,450-622-4888,"Gadiaga, Mouhammad A Mah | Haché, Normand",Famille,1,0,0,"age inconnu, a demander a l'appel",,,hacheavocat.ca,"3061 Boul Dagenais O, Laval H7P 1T7",haute,A_APPELER,,,,,,,,
132,1,Le Palier Juridique,Longueuil,450-396-7737,"Abrari, Rojan | Hammoud, Nai | Mohamed, Amanda",Famille,1,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"210-1079 ch de Chambly, Longueuil J4H 3M7",haute,A_APPELER,,,,,,,,
133,1,"Lecompte Deguire, avocats",Boucherville,450-641-0065,"Deguire, Jean-Pierre | Lecompte, Marie Hélène",Famille,1,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"1102, rue du Boisé, Boucherville J4B 8W8",haute,A_APPELER,,,,,,,,
134,1,SOS Avocats Inc.,Pointe-Claire,514-969-9910,"Assouline, Valérie | Cherfane, Rayane | Delisle, Anne-Marie",Famille,1,0,0,"age inconnu, a demander a l'appel",,,sos-avocats.ca,"501-1 av Holiday, Pointe-Claire H9R 5N3",haute,A_APPELER,,,,,,,,
135,0,Lalonde Geraghty Riendeau Avocats inc.,Saint-Jérôme,450-436-8022,"Dupré, Vanessa | Faubert, Jade | Fournier, Anne-Marie","Immobilier, Successions",0,2,-2,"en ligne depuis 2002, cabinet etabli",2002,,lgrl.ca,"44, rue de Martigny O, Saint-Jérôme J7Y 2E9",haute,A_APPELER,,,,,,,,
136,0,"Ally, Mercier, avocats",Sorel-Tracy,450-743-7979,"Mercier, Serge | Paul, Frédérique","Famille, Successions",1,1,-2,"en ligne depuis 1986, cabinet etabli",1986,,allymercieravocats.ca,"67 rue George, Sorel-Tracy J3P 1C2",haute,A_APPELER,,,,,,,,
137,0,Aubé Avocats Inc.,Saint-Constant,450-632-3277,"Aubé, Serge | Dalpé, Jessica","Famille, Immobilier",1,1,-2,"en ligne depuis 2008, cabinet etabli",2008,,aubeavocats.com,"149, rue Saint-Pierre, Saint-Constant J5A 2G9",haute,A_APPELER,,,,,,,,
138,0,"BLANCHETTE ET ASSOCIÉS, AVOCATS INC.",Beloeil,450-467-4065,"Brunet, Chantal | Fleury, Emmanuelle | Morin, Catherine","Famille, Successions",1,1,-2,"en ligne depuis 2009, cabinet etabli",2009,,blanchetteavocats.com,"53, rue Jeannotte, Beloeil J3G 2R5",haute,A_APPELER,,,,,,,,
139,0,Fiset Légal inc.,Chomedey,450-686-9244,"Denoncin, Gérald | Fiset, Sébastien",Immobilier,1,1,-2,"en ligne depuis 2009, cabinet etabli",2009,,fisetlegal.com,"4670 Autoroute(440)LavalO, Chomedey",haute,A_APPELER,,,,,,,,
140,0,"Goldwater, Droit Inc.",Westmount,514-900-2965,"Annunzi, Vanessa | Boivin, Samuel | Cienfuegos, Daniella","Famille, Successions",1,1,-2,"en ligne depuis 1981, cabinet etabli",1981,,goldwaterdroit.com,"3500 Blvd. De Maisonneuve Ouest #2310, Westmount H3Z 3C1",haute,A_APPELER,,,,,,,,
141,0,Zaurrini avocats,Laval,450-975-1110,"Bélisle, Kim | Di Battista, Léo","Famille, Immobilier",1,1,-2,"en ligne depuis 2002, cabinet etabli",2002,,zaurrini.com,"2, boul de la Concorde O, Laval H7N 6G6",haute,A_APPELER,,,,,,,,
142,0,Brais & Associés,Montréal,514-985-2792,"Fauvel, Stéphanie",Famille,2,0,-2,"en ligne depuis 1993, cabinet etabli",1993,site (c) 2011,braislaw.ca,"282 NotreDameO, Montréal H2Y 1T7",haute,A_APPELER,,,,,,,,
143,0,"Dufourd Dion, avocats inc.",Montréal,514-482-0887,"Dufourd, Christian",Famille,2,0,-2,"en ligne depuis 1989, cabinet etabli",1989,site (c) 2026,dufourdion.com,"5115, av Trans Island, Montréal H3W 2Z9",haute,A_APPELER,,,,,,,,
144,0,Jean-Félix Racicot avocat,Mont-Saint-Hilaire,450-536-3630,"Racicot, Jean-Félix",Famille,2,0,-2,"en ligne depuis 2008, cabinet etabli",2008,,jeanfelixracicot.com,"872, rue des Bernaches, Mont-Saint-Hilaire J3H 0C4",haute,A_APPELER,,,,,,,,
145,0,Manon Leclerc avocate inc.,Brossard,450-655-4555,"Leclerc, Manon",Famille,2,0,-2,"en ligne depuis 2008, cabinet etabli",2008,site (c) 2026,manonleclercavocate.com,"410-9160, boul Leduc, Brossard J4Y 0E3",haute,A_APPELER,,,,,,,,
146,0,"Marie Josée Tremblay, avocate et médiatrice",Chambly,514-328-8614,"Tremblay, Marie Josée",Famille,2,0,-2,"en ligne depuis 2002, cabinet etabli",2002,,mjtremblay.ca,"1859, av Bourgogne, Chambly J3L 1Y8",haute,A_APPELER,,,,,,,,
147,0,"Marie-Josée Talbot, avocate",Longueuil,514-797-7781,"Talbot, Marie-Josée",Famille,2,0,-2,"en ligne depuis 1994, cabinet etabli",1994,,about.me,"61, rue Saint-Charles O, Longueuil J4H 1C5",haute,A_APPELER,,,,,,,,
148,0,Me Jean Boyce,La Prairie,450-912-0097,"Boyce, Jean",Famille,2,0,-2,"en ligne depuis 2012, cabinet etabli",2012,,jeanboyceavocat.com,,haute,A_APPELER,,,,,,,,
149,0,Me Julie Leger Avocate,Laval,450-235-0959,"Léger, Julie",Famille,2,0,-2,"en ligne depuis 2012, cabinet etabli",2012,site (c) 2009,julielegeravocate.com,"140-2999 Boul De La Concorde E, Laval H7E 2B5",haute,A_APPELER,,,,,,,,
150,0,Me Ronald Rodrigue,Saint-Jérôme,579-990-2551,"Rodrigue, Ronald",Famille,2,0,-2,"en ligne depuis 1992, cabinet etabli",1992,,ronaldrodrigueavocat.sitew.ca,"210-30, rue de Martigny O, Saint-Jérôme J7Y 2E9",haute,A_APPELER,,,,,,,,
151,0,"Me Sonia Moniqui, Avocate",Salaberry-de-Valleyfield,450-859-0477,"Moniqui, Sonia",Famille,2,0,-2,"en ligne depuis 1992, cabinet etabli",1992,,mesoniamoniquiavocate.ca,"2 rue Sainte-Cécile, Salaberry-de-Valleyfield J6T 6J1",haute,A_APPELER,,,,,,,,
152,0,Nawal Benrouayene,Longueuil,450-396-4004,"Benrouayene, Nawal",Famille,2,0,-2,"en ligne depuis 2006, cabinet etabli",2006,site (c) 2006,benrouayene-avocat.com,"45, Place Charles-Le Moyne, Longueuil J4K 5G5",haute,A_APPELER,,,,,,,,
153,0,PASCALE VARIN AVOCATE INC.,Saint-Eustache,450-491-7555,"Varin, Pascale",Famille,2,0,-2,"en ligne depuis 2009, cabinet etabli",2009,,pascalevarinavocate.com,"316 Rue Des Jonquilles, Saint-Eustache J7P 0A9",haute,A_APPELER,,,,,,,,
154,0,Ratelle,Joliette,450-759-5151,"Richer, Nathalie",Famille,2,0,-2,"en ligne depuis 2003, cabinet etabli",2003,,avocatsratelle.com,"481 Rue De Lanaudière, Joliette J6E 3M3",haute,A_APPELER,,,,,,,,
155,0,Riendeau Avocats inc.,Montréal,438-525-9146,"Andende, Coralie | Yankey, Yann | de Santis, Marie",Famille,2,0,-2,"en ligne depuis 2005, cabinet etabli",2005,,riendeauavocats.ca,"204-19 rue le Royer O, Montréal H2Y 1W4",haute,A_APPELER,,,,,,,,
156,0,Roy avocats inc.,Saint-Jean-Sur-Richelieu,450-357-9000,"Roy, Dominique",Famille,2,0,-2,"en ligne depuis 1993, cabinet etabli",1993,,royavocats.com,"358, rue Riviéra, Saint-Jean-Sur-Richelieu J2W 2C8",haute,A_APPELER,,,,,,,,
157,0,Services juridiques Henri Duval inc.,Repentigny,450-581-1010,"Duval, Henri | Tremblay, Manon",Famille,2,0,-2,"en ligne depuis 1997, cabinet etabli",1997,site (c) 2016,duvaltremblayavocats.com,Repentigny,haute,A_APPELER,,,,,,,,
158,0,Sonia St-Onge avocats,Salaberry-de-Valleyfield,450-747-3007,"St-Onge, Sonia",Famille,2,0,-2,"en ligne depuis 1991, cabinet etabli",1991,,soniastongeavocats.com,"2-35 rue Grande-Île, Salaberry-de-Valleyfield J6S 3L9",haute,A_APPELER,,,,,,,,
159,0,"Suzie Guilmain, avocate",Saint-Hyacinthe,450-771-4134,"Guilmain, Suzie",Famille,2,0,-2,"en ligne depuis 2012, cabinet etabli",2012,,glavocates.com,"102-5425, boul Laurier O, Saint-Hyacinthe J2S 3V6",haute,A_APPELER,,,,,,,,
160,-1,"Bissonnette  Giroux, Cabinet d'avocats, s.a.",Saint-Jérôme,450-431-4114,"Bissonnette, Alain | Giroux, Diane | Lapointe, Sandrine",Famille,1,0,-2,"en ligne depuis 2011, cabinet etabli",2011,,bfgca.com,"490, rue Laviolette, Saint-Jérôme J7Y 2T9",haute,A_APPELER,,,,,,,,
161,-1,Brigitte Brunet Avocats inc,Vaudreuil-Dorion,450-455-9646,"Perreault-Gaudette, Stephanie | Roussin, Justine",Famille,1,0,-2,"en ligne depuis 2010, cabinet etabli",2010,,brigittebrunetavocats.com,"469 Av Saint-Charles, Vaudreuil-Dorion J7V 2N4",haute,A_APPELER,,,,,,,,
162,-1,Caron Roberge inc.,Montréal,514-800-3093,"Bigras, Jean-François | Caron, Isabelle",Famille,1,0,-2,"en ligne depuis 2009, cabinet etabli",2009,,caronroberge.com,"460, rue Saint-Gabriel, Montréal H2Y 2Z9",haute,A_APPELER,,,,,,,,
163,-1,"Phaneuf et associés, avocats",Prévost,450-335-0512,"Bérubé-Guillemette, Vickie | Hébert, Gabrielle | Medelete, Roxana-Liliana",Famille,1,0,-2,"en ligne depuis 2002, cabinet etabli",2002,,monavocate.com,"2772 boul du Curé-Labelle, Prévost J0R 1T0",haute,A_APPELER,,,,,,,,
